,Rank,Restaurant Name,Style,Rate,Site Link
28,29,Republique,"French, American",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d5603875-Reviews-Republique-Los_Angeles_California.html
29,30,Perch,"French, American",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2241406-Reviews-Perch-Los_Angeles_California.html
30,31,Cleo Hollywood,"Middle Eastern, Mediterranean",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1972743-Reviews-Cleo_Hollywood-Los_Angeles_California.html
31,32,Republique,"French, American",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d5603875-Reviews-Republique-Los_Angeles_California.html
32,33,Perch,"French, American",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2241406-Reviews-Perch-Los_Angeles_California.html
33,34,Gus's Barbecue - South Pasadena,"American, Barbecue",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g33115-d368907-Reviews-Gus_s_Barbecue_South_Pasadena-South_Pasadena_California.html
34,35,Aliki's Greek Taverna,"Mediterranean, Greek",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d615490-Reviews-Aliki_s_Greek_Taverna-Los_Angeles_California.html
35,36,Musso & Frank Grill,"Steakhouse, American",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d514194-Reviews-Musso_Frank_Grill-Los_Angeles_California.html
36,37,Parkway Grill,"American, Contemporary",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32859-d343318-Reviews-Parkway_Grill-Pasadena_California.html
37,38,Truxton's American Bistro,"American, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d626563-Reviews-Truxton_s_American_Bistro-Los_Angeles_California.html
38,39,Tatsu Ramen,"Japanese, Asian",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d4178694-Reviews-Tatsu_Ramen-Los_Angeles_California.html
39,40,Baco Mercat,,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2439499-Reviews-Baco_Mercat-Los_Angeles_California.html
40,41,Bossa Nova Brazilian Cuisine,"Italian, South American",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350443-Reviews-Bossa_Nova_Brazilian_Cuisine-Los_Angeles_California.html
41,42,Ayara Thai Cuisine,"Asian, Thai",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d869075-Reviews-Ayara_Thai_Cuisine-Los_Angeles_California.html
42,43,Sushi A Go Go,"Japanese, International",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d509121-Reviews-Sushi_A_Go_Go-Los_Angeles_California.html
43,44,Water Grill,"American, Seafood",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364702-Reviews-Water_Grill-Los_Angeles_California.html
44,45,The Butcher's Daughter,,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d10277953-Reviews-The_Butcher_s_Daughter-Los_Angeles_California.html
45,46,Crossroads,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d4039585-Reviews-Crossroads-Los_Angeles_California.html
46,47,Getty Center Restaurant,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350227-Reviews-Getty_Center_Restaurant-Los_Angeles_California.html
47,48,Baby Blues BBQ,"American, Barbecue",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d647761-Reviews-Baby_Blues_BBQ-Los_Angeles_California.html
48,49,The Luggage Room Pizzeria,"Italian, Pizza",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32859-d1988092-Reviews-The_Luggage_Room_Pizzeria-Pasadena_California.html
49,50,Cafe Gratitude,Cafe,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2629080-Reviews-Cafe_Gratitude-Los_Angeles_California.html
50,51,Bestia,Italian,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3731729-Reviews-Bestia-Los_Angeles_California.html
51,52,The Counter Downtown L.A.,"American, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3444471-Reviews-The_Counter_Downtown_L_A-Los_Angeles_California.html
52,53,Vivian's Millenium Cafe,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d894574-Reviews-Vivian_s_Millenium_Cafe-Los_Angeles_California.html
53,54,A.O.C.,Wine Bar,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350445-Reviews-A_O_C-Los_Angeles_California.html
54,55,Animal,"American, Contemporary",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1464163-Reviews-Animal-Los_Angeles_California.html
55,56,The Little Door,"French, Mediterranean",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3572415-Reviews-The_Little_Door-Los_Angeles_California.html
56,57,Stout Burgers & Beers,"American, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d4231470-Reviews-Stout_Burgers_Beers-Los_Angeles_California.html
57,58,Malibu Farm Pier Cafe,"Cafe, American",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d11895323-Reviews-Malibu_Farm_Pier_Cafe-Los_Angeles_California.html
58,59,The Front Yard,"American, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1785462-Reviews-The_Front_Yard-Los_Angeles_California.html
59,60,Gale's Italian Restaurant and Bar,Italian,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32859-d359037-Reviews-Gale_s_Italian_Restaurant_and_Bar-Pasadena_California.html
60,61,Culina,Italian,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1759683-Reviews-Culina-Los_Angeles_California.html
61,62,Ruby's Diner,"American, Diner",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d348872-Reviews-Ruby_s_Diner-Los_Angeles_California.html
62,63,Katsuya Hollywood,"Japanese, Sushi",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d810050-Reviews-Katsuya_Hollywood-Los_Angeles_California.html
63,64,Good Neighbor,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2421061-Reviews-Good_Neighbor-Los_Angeles_California.html
64,65,The Coffee Company,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d4244361-Reviews-The_Coffee_Company-Los_Angeles_California.html
65,66,Umami Burger,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1453257-Reviews-Umami_Burger-Los_Angeles_California.html
66,67,Rainbow Bar & Grill,"American, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1114095-Reviews-Rainbow_Bar_Grill-Los_Angeles_California.html
67,68,Pizzeria Mozza,"Italian, Pizza",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d782715-Reviews-Pizzeria_Mozza-Los_Angeles_California.html
68,69,Madeo,Italian,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d348151-Reviews-Madeo-Los_Angeles_California.html
69,70,Home Restaurant,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364778-Reviews-Home_Restaurant-Los_Angeles_California.html
70,71,The Original Pantry,"American, Cafe",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364736-Reviews-The_Original_Pantry-Los_Angeles_California.html
71,72,25 Degrees,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d611377-Reviews-25_Degrees-Los_Angeles_California.html
72,73,Monsieur Marcel's,"French, European",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d447885-Reviews-Monsieur_Marcel_s-Los_Angeles_California.html
73,74,Granville,"American, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32431-d2313522-Reviews-Granville-Glendale_California.html
74,75,Canter's Deli,American,4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350465-Reviews-Canter_s_Deli-Los_Angeles_California.html
75,76,Houston's,"American, Sushi",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32859-d343289-Reviews-Houston_s-Pasadena_California.html
76,77,Wood Ranch BBQ & Grill,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350480-Reviews-Wood_Ranch_BBQ_Grill-Los_Angeles_California.html
77,78,Russell's,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32859-d585586-Reviews-Russell_s-Pasadena_California.html
78,79,La Grande Orange Cafe,"American, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32859-d1239578-Reviews-La_Grande_Orange_Cafe-Pasadena_California.html
79,80,Drago Centro,Italian,4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1312378-Reviews-Drago_Centro-Los_Angeles_California.html
80,81,Blu Jam Cafe,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d4607221-Reviews-Blu_Jam_Cafe-Los_Angeles_California.html
81,82,Venice Ale House,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1857442-Reviews-Venice_Ale_House-Los_Angeles_California.html
82,83,26 Beach Cafe,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d373603-Reviews-26_Beach_Cafe-Los_Angeles_California.html
83,84,Bludsos BBQ,"American, Barbecue",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d5013667-Reviews-Bludsos_BBQ-Los_Angeles_California.html
84,85,Faith & Flower,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d6636627-Reviews-Faith_Flower-Los_Angeles_California.html
85,86,El Compadre,"Mexican, Latin",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350473-Reviews-El_Compadre-Los_Angeles_California.html
86,87,Otium Restaurant,"Contemporary, American",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d8803003-Reviews-Otium_Restaurant-Los_Angeles_California.html
87,88,Superba Food + Bread,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d6649826-Reviews-Superba_Food_Bread-Los_Angeles_California.html
88,89,california PIZZA KITCHEN,"Italian, American",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g33252-d376005-Reviews-California_PIZZA_KITCHEN-West_Hollywood_California.html
89,90,101 Coffee Shop,"American, Cafe",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364774-Reviews-101_Coffee_Shop-Los_Angeles_California.html
90,91,Cecconi's West Hollywood,Italian,4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1533697-Reviews-Cecconi_s_West_Hollywood-Los_Angeles_California.html
91,92,Napa Valley Grille,American,4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d348049-Reviews-Napa_Valley_Grille-Los_Angeles_California.html
92,93,The Ivy,American,4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d348150-Reviews-The_Ivy-Los_Angeles_California.html
93,94,Yamashiro Hollywood,"Japanese, Sushi",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364899-Reviews-Yamashiro_Hollywood-Los_Angeles_California.html
94,95,Swingers,"American, Cafe",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350486-Reviews-Swingers-Los_Angeles_California.html
95,96,Osteria Mozza,Italian,4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d945030-Reviews-Osteria_Mozza-Los_Angeles_California.html
96,97,Julienne,"Cafe, French",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g33029-d344281-Reviews-Julienne-San_Marino_California.html
97,98,Apple Pan,"American, Fast Food",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d348068-Reviews-Apple_Pan-Los_Angeles_California.html
98,99,Pann's Restaurant,"American, Diner",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d349677-Reviews-Pann_s_Restaurant-Los_Angeles_California.html
99,100,The Palm - L.A,"American, Steakhouse",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364758-Reviews-The_Palm_L_A_Downtown-Los_Angeles_California.html
100,101,Maggiano's - Farmers Market,Italian,4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1315940-Reviews-Maggiano_s_Farmers_Market-Los_Angeles_California.html
101,102,Roscoe's House of Chicken & Waffles,American,4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364727-Reviews-Roscoe_s_House_of_Chicken_Waffles-Los_Angeles_California.html
102,103,Union,Italian,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32859-d6884353-Reviews-Union-Pasadena_California.html
103,104,Beauty & Essex,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d12326872-Reviews-Beauty_Essex-Los_Angeles_California.html
104,105,Damon's Steak House,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32431-d364747-Reviews-Damon_s_Steak_House-Glendale_California.html
105,106,Yard House,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2419501-Reviews-Yard_House-Los_Angeles_California.html
106,107,Pig 'N' Whistle,"Bar, Pub",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364821-Reviews-Pig_N_Whistle-Los_Angeles_California.html
107,108,Carlitos Gardel,"Steakhouse, Latin",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d371845-Reviews-Carlitos_Gardel-Los_Angeles_California.html
108,109,IHOP,"American, Diner",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d4195133-Reviews-IHOP-Los_Angeles_California.html
109,110,Johnny Rockets,"American, Fast Food",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d376101-Reviews-Johnny_Rockets-Los_Angeles_California.html
110,111,Daikokuya,"Japanese, Asian",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1022582-Reviews-Daikokuya-Los_Angeles_California.html
111,112,Petit Trois,"French, European",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d7101596-Reviews-Petit_Trois-Los_Angeles_California.html
112,113,Bubba Gump Shrimp Co.,"American, Seafood",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d911418-Reviews-Bubba_Gump_Shrimp_Co-Los_Angeles_California.html
113,114,71Above Restaurant and Skylounge,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d10629632-Reviews-71Above_Restaurant_and_Skylounge-Los_Angeles_California.html
114,115,Mel's Drive-In,"American, Diner",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d375986-Reviews-Mel_s_Drive_In-Los_Angeles_California.html
115,116,Cafe Santorini,"Mediterranean, Greek",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32859-d343285-Reviews-Cafe_Santorini-Pasadena_California.html
116,117,Catch LA,"Seafood, Sushi",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d11620640-Reviews-Catch_LA-Los_Angeles_California.html
117,118,Hinano Cafe,"American, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d480679-Reviews-Hinano_Cafe-Los_Angeles_California.html
118,119,Daily Grill,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1775031-Reviews-Daily_Grill-Los_Angeles_California.html
119,120,Industriel,"American, International",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3441936-Reviews-Industriel-Los_Angeles_California.html
120,121,Guelaguetza Restaurante,"Mexican, Latin",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364729-Reviews-Guelaguetza_Restaurante-Los_Angeles_California.html
121,122,Barton G,"American, Contemporary",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d6820740-Reviews-Barton_G_The_Restaurant_Los_Angeles-Los_Angeles_California.html
122,123,Mohawk Bend,"American, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2407910-Reviews-Mohawk_Bend-Los_Angeles_California.html
123,124,Scopa Italian Roots,Italian,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d7995032-Reviews-Scopa_Italian_Roots-Los_Angeles_California.html
124,125,Larry's,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2310795-Reviews-Larry_s-Los_Angeles_California.html
125,126,Hard Rock Cafe,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1870067-Reviews-Hard_Rock_Cafe-Los_Angeles_California.html
126,127,Tam O'Shanter,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d338895-Reviews-Tam_O_Shanter-Los_Angeles_California.html
127,128,Fogo de Chao Brazilian Steakhouse,"Steakhouse, Brazilian",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d7314432-Reviews-Fogo_de_Chao_Brazilian_Steakhouse-Los_Angeles_California.html
128,129,El Coyote,"Mexican, Latin",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350499-Reviews-El_Coyote-Los_Angeles_California.html
129,130,The Rose Venice,"American, Cafe",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d550479-Reviews-The_Rose_Venice-Los_Angeles_California.html
130,131,Masa of Echo Park,"Italian, Pizza",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d814338-Reviews-Masa_of_Echo_Park-Los_Angeles_California.html
131,132,Wurstkuche Restaurant Venice Beach,"German, Bar",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3650021-Reviews-Wurstkuche_Restaurant_Venice_Beach-Los_Angeles_California.html
132,133,JW's Steakhouse,"American, Steakhouse",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3956941-Reviews-JW_s_Steakhouse-Los_Angeles_California.html
133,134,Figtree's Cafe,"American, Cafe",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d352644-Reviews-Figtree_s_Cafe-Los_Angeles_California.html
134,135,Yang Chow,"Chinese, Asian",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364750-Reviews-Yang_Chow-Los_Angeles_California.html
135,136,The Venice Whaler,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d542604-Reviews-The_Venice_Whaler-Los_Angeles_California.html
136,137,El Tepeyac,"Mexican, Latin",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364691-Reviews-El_Tepeyac-Los_Angeles_California.html
137,138,Arroyo Chop House,"American, Steakhouse",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32859-d343317-Reviews-Arroyo_Chop_House-Pasadena_California.html
138,139,Tao,"Chinese, Japanese",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d12360908-Reviews-Tao-Los_Angeles_California.html
139,140,Daikokuya Ramen,"Japanese, Asian",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d8761249-Reviews-Daikokuya_Ramen-Los_Angeles_California.html
140,141,TART,American,4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d614018-Reviews-TART-Los_Angeles_California.html
141,142,Happy Diner,"American, Diner",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d2392319-Reviews-Happy_Diner-Los_Angeles_California.html
142,143,El Cholo Restaurant,"Mexican, Latin",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d364791-Reviews-El_Cholo_Restaurant-Los_Angeles_California.html
143,144,Sol y Luna,"Mexican, Latin",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1008300-Reviews-Sol_y_Luna-Los_Angeles_California.html
144,145,Gjelina,"Mexican, Fusion",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1201927-Reviews-Gjelina-Los_Angeles_California.html
145,146,Du-par's Restaurant & Bakery,"American, Diner",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d480677-Reviews-Du_par_s_Restaurant_Bakery-Los_Angeles_California.html
146,147,James Beach,"American, Bar",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d350182-Reviews-James_Beach-Los_Angeles_California.html
147,148,Beachwood Cafe,"American, Cafe",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d3181790-Reviews-Beachwood_Cafe-Los_Angeles_California.html
148,149,Fleming's Prime Steakhouse & Wine Bar,"American, Steakhouse",4.0 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d1972761-Reviews-Fleming_s_Prime_Steakhouse_Wine_Bar-Los_Angeles_California.html
149,150,Sushi Katsu-ya,"Sushi, Asian",4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d357551-Reviews-Sushi_Katsu_ya-Los_Angeles_California.html
150,151,Whole Foods Market,American,4.5 of 5 bubbles,https://www.tripadvisor.com//Restaurant_Review-g32655-d10177638-Reviews-Whole_Foods_Market-Los_Angeles_California.html
